stage	residue	fertilization	NH4	NO3	AP	AK	pH	MBC	MBN	DOC	DON	TN	TC	SOC
Filling	Remove	CK	0.150015765	5.781376774	6.808666667	19.056	8.352	115.0222222	8.256	28.875	3.59	1.083 	19.16 	11.24
Filling	Remove	CK	0.207602592	4.244319654	6.728666667	20.7	8.352	90.66666667	8.24	26.24	4.48	1.031 	18.82 	9.24
Filling	Remove	CK	0.300042781	2.250320856	7.152666667	15.22	8.429	103.7688889	5.504	25.645	6.0125	0.820 	15.56 	8
Filling	Remove	CK	0.254267171	3.132109248	6.926666667	17.412	8.338	105.4755556	7.52	30.835	6.125	1.035 	18.86 	10.12
Filling	Turnover	HF	0.160122762	4.723621483	7.494666667	21.248	8.283	145.1555556	11.824	35.785	4.7175	1.209 	21.81 	13.89
Filling	Turnover	HF	0.183011844	7.263282572	7.188666667	20.152	8.2377	124.6222222	11.264	32.735	5.825	1.073 	19.73 	12.33
Filling	Turnover	HF	0.227819549	5.547406015	6.360666667	26.18	8.332	221.3333333	12.208	39.705	6.6725	1.183 	20.99 	13.72
Filling	Turnover	HF	0.17160596	4.610480132	7.906666667	36.044	8.281	228.4444444	13.408	37.225	6.7975	1.360 	20.57 	12.65
Filling	Turnover	HO	0.308755297	6.0721875	7.326666667	22.892	8.359	189.6	15.136	42.685	5.0675	1.334 	24.18 	18.47
Filling	Turnover	HO	0.255973304	8.644916574	8.538666667	26.728	8.511	207.5555556	14.144	41.99	5.1575	1.469 	26.03 	20.2
Filling	Turnover	HO	0.287299465	4.206064171	7.718666667	37.14	8.358	127.6444444	13.216	37.095	8.425	1.054 	19.40 	12.99
Filling	Turnover	HO	0.274525862	3.454450431	6.492666667	23.988	8.361	101.3333333	10.288	34.265	4.3725	1.062 	19.87 	12.28
Filling	Turnover	MF	0.241179039	7.924454148	6.936666667	21.248	8.264	121.3333333	13.312	35.945	4.4	1.344 	20.97 	13.78
Filling	Turnover	MF	0.1263125	7.130914773	6.572666667	17.96	8.307	109.0666667	12.512	34.8	7.5775	1.220 	19.37 	12.6
Filling	Turnover	MF	0.127399464	5.814048257	6.912666667	22.344	8.36	139.2	10.832	30.69	3.8625	1.164 	19.42 	12.23
Filling	Turnover	MF	0.114039956	5.713401776	6.716666667	23.988	8.261	94.66666667	10.832	33.76	3.715	1.191 	19.34 	11.43
Filling	Turnover	CK	0.28837779	3.229831247	6.708666667	14.308	8.325	121.3333333	8.176	27.825	3.5	0.974 	19.31 	10.5
Filling	Turnover	CK	0.068480938	4.291472141	6.296666667	25.084	8.274	221.7777778	15.216	38.78	5.4525	1.328 	20.95 	12.27
Filling	Turnover	CK	0.091821601	3.626953251	7.970666667	20.152	8.38	120.8888889	6.944	28.51	3.845	0.979 	17.29 	9.31
Filling	Turnover	CK	0.157643836	3.727150685	6.846666667	22.344	8.312	166.6666667	8.544	34.225	4.05	1.173 	20.40 	11.28
Maturing	Remove	HF	0.144154671	2.510693851	6.494666667	23.44	8.281	135.2888889	10.704	40.455	2.145	1.124 	21.16 	11.85
Maturing	Remove	HF	0.204177728	3.00261365	6.466666667	22.892	8.311	153.6888889	11.152	44.56	4.2775	1.200 	19.75 	11.44
Maturing	Remove	HF	0.16758776	4.058017909	7.110666667	21.796	8.342	119.2888889	8.992	36.745	3.185	1.253 	20.14 	11.02
Maturing	Remove	HF	0.132233418	2.452328848	7.130666667	20.7	8.373	109.3333333	8.896	39.89	2.9725	1.119 	19.90 	10.42
Maturing	Remove	HO	0.252	4.932	7.030666667	28.92	8.319	184.8	11.152	47.44	5.2925	1.236 	20.21 	14.73
Maturing	Remove	HO	0.144344834	4.137885228	6.584666667	30.016	8.3	150.4888889	10.992	45.565	6.905	1.147 	19.51 	12.6
Maturing	Remove	HO	0.263684283	2.756699324	7.718666667	23.44	8.35	115.7333333	10.624	37.18	1.9275	1.429 	22.07 	10.27
Maturing	Remove	HO	0.193103448	4.224137931	8.048666667	27.276	8.329	144.8	11.184	38.035	1.605	1.366 	22.59 	11.8
Maturing	Remove	MF	0.239071397	3.095974595	6.384666667	20.152	8.322	97.06666667	11.392	32.965	2.51	1.057 	19.55 	9.86
Maturing	Remove	MF	0.228084633	5.281959911	7.330666667	23.988	8.328	134.5777778	13.6	36.65	2.2325	1.080 	19.65 	10.73
Maturing	Remove	MF	0.203558127	4.08313654	7.082666667	26.18	8.316	142.8444444	15.344	40.84	4.67	1.301 	20.23 	10.38
Maturing	Remove	MF	0.25275323	3.129325703	6.646666667	15.768	8.433	89.86666667	8.752	31.365	2.975	0.809 	15.52 	7.47
Maturing	Remove	CK	0.334963571	2.081559333	6.364666667	18.508	8.359	134.4888889	11.52	34.95	4.2525	1.021 	18.69 	8.48
Maturing	Remove	CK	0.262759369	3.129225208	6.576666667	20.7	8.346	131.2888889	13.408	34.875	3.1175	0.960 	18.82 	8.85
Maturing	Remove	CK	0.21579808	3.093105809	5.588666667	15.22	8.421	95.11111111	9.472	29.435	3.0925	0.847 	15.32 	6.71
Maturing	Remove	CK	0.395907545	2.435431259	5.694666667	19.056	8.39	125.4222222	11.392	34.94	3.765	1.046 	18.70 	9.16
Maturing	Turnover	HF	0.215203258	3.34760624	6.792666667	21.796	8.147	172.0888889	12.064	38.765	3.365	1.165 	21.00 	11.87
Maturing	Turnover	HF	0.215361957	3.445791313	7.250666667	23.988	8.214	131.9111111	8.88	38.16	5.51	1.007 	20.18 	12.6
Maturing	Turnover	HF	0.19241751	4.678150704	6.828666667	28.92	8.09	161.2444444	11.472	40.56	3.215	1.251 	20.96 	10.52
Maturing	Turnover	HF	0.229959132	5.059100912	8.078666667	33.304	8.054	163.4666667	11.584	43.095	4.185	1.329 	23.59 	14.69
Maturing	Turnover	HO	0.192611855	2.154845124	7.074666667	23.988	8.098	158.6666667	11.344	40.015	3.11	1.238 	22.48 	14.46
Maturing	Turnover	HO	0.194667952	5.280368193	9.276666667	34.948	8.149	139.7333333	10.192	45.29	3.1225	1.590 	30.12 	14.08
Maturing	Turnover	HO	0.132155179	2.222609829	7.330666667	22.892	8.324	104.9777778	11.856	39.625	4.165	0.892 	16.90 	8.26
Maturing	Turnover	HO	0.120659371	2.425253363	6.740666667	28.372	8.254	139.6444444	13.152	43.485	4.4025	1.193 	23.19 	13.74
Maturing	Turnover	MF	0.180980817	3.8488587	6.966666667	28.92	8.077	129.2444444	15.024	38.775	4.5475	1.197 	20.51 	11.59
Maturing	Turnover	MF	0.12	2.592	6.984666667	23.988	8.131	137.1555556	11.216	36.685	3.3075	1.184 	19.60 	10.37
Maturing	Turnover	MF	0.241274074	2.617823704	6.718666667	21.796	8.18	106.5777778	13.504	33.375	3.165	1.101 	19.47 	9.8
Maturing	Turnover	MF	0.217411591	5.242035036	6.896666667	26.18	8.102	152.2666667	12.832	36.77	1.845	1.190 	20.13 	10.59
Maturing	Turnover	CK	0.156586486	2.276526599	7.514666667	22.344	8.227	109.0666667	9.776	33.04	3.24	1.039 	19.29 	8.36
Maturing	Turnover	CK	0.252524088	2.368916443	7.472666667	28.372	8.084	152.6222222	10.8	40.275	4.265	1.277 	21.02 	10.92
Maturing	Turnover	CK	0.132438192	1.854134689	6.294666667	23.44	8.186	119.4666667	12.56	36.26	3.05	0.987 	17.72 	7.35
Maturing	Turnover	CK	0.108975564	2.712280702	6.318666667	31.66	8.086	135.4666667	11.184	36.975	4.3575	1.192 	20.44 	9.43
